Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1//3;PPA;CrsPA;PrgP;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;1//3;CPA;Mis;Dis;Rec;PrgR;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%
321;Lewis Koumas;WAL;FW,MF;Birmingham City;EFL Championship;20;2005;13;4;397;4.4;0;0;0;0;0;0;1;0;0.4;0.4;0.3;0.6;19;12;42;0.00;0.00;0.00;0.00;0.00;0.09;0.06;0.14;0.09;0.14;6;0;0.0;1.36;0.00;0.00;;16.3;0;0;0;0.4;0.4;0.06;-0.4;-0.4;67;116;57.8;1071;267;37;48;77.1;26;51;51.0;4;9;44.4;0;0.3;0.3;-0.3;4;3;8;2;12;6;1.36;6;0;0;0;0;0;0;0.00;0;0;0;0;0;0;5;4;2;2;1;2;3;66.7;1;4;0;4;1;6;3;0;176;0;20;60;98;16;176;14;4;28.6;10;71.4;107;747;366;19;6;2;18;6;117;42;1;0;0;9;5;2;27;1;4;0;0;0;12;3;8;27.3
330;Will Lankshear;ENG;FW;Oxford United;EFL Championship;20;2005;16;14;1,145;12.7;5;0;5;5;0;0;0;0;3.8;3.8;0.9;4.8;5;14;29;0.39;0.00;0.39;0.39;0.39;0.30;0.07;0.38;0.30;0.38;24;8;33.3;1.89;0.63;0.21;0.63;11.4;0;0;0;3.8;3.8;0.16;+1.2;+1.2;141;193;73.1;1936;284;85;108;78.7;42;51;82.4;5;7;71.4;0;0.9;0.4;-0.9;14;9;3;0;14;28;2.20;20;0;0;3;3;2;0;0.00;0;0;0;0;0;0;8;4;0;6;2;2;7;28.6;5;3;0;3;3;11;7;0;310;8;18;154;142;35;310;10;5;50.0;5;50.0;182;750;258;5;9;1;36;23;216;29;0;0;0;27;21;23;3;3;4;0;0;0;25;14;31;31.1
348;Othmane Maamma;MAR;FW,MF;Watford;EFL Championship;20;2005;4;2;202;2.2;0;0;0;0;0;0;0;0;0.3;0.3;0.2;0.5;13;10;19;0.00;0.00;0.00;0.00;0.00;0.13;0.08;0.22;0.13;0.22;6;2;33.3;2.67;0.89;0.00;0.00;21.4;0;0;0;0.3;0.3;0.05;-0.3;-0.3;51;78;65.4;820;235;26;34;76.5;14;22;63.6;7;10;70.0;0;0.2;0.1;-0.2;3;4;3;1;10;10;4.46;4;0;1;1;2;2;0;0.00;0;0;0;0;0;0;9;6;5;2;2;1;3;33.3;2;2;0;2;2;11;2;0;132;3;16;54;64;12;132;17;5;29.4;10;58.8;86;686;317;13;9;5;17;7;87;19;0;0;0;4;4;0;11;2;6;0;0;0;9;1;3;25.0
350;Lucien Mahovo;ENG;DF;Norwich City;EFL Championship;20;2005;2;0;32;0.4;0;0;0;0;0;0;0;0;0.0;0.0;0.2;0.2;0;6;1;0.00;0.00;0.00;0.00;0.00;0.04;0.65;0.68;0.04;0.68;1;0;0.0;2.81;0.00;0.00;;9.9;0;0;0;0.0;0.0;0.01;0.0;0.0;39;45;86.7;680;206;17;18;94.4;16;18;88.9;4;6;66.7;0;0.2;0.3;-0.2;2;6;1;1;6;3;8.44;2;0;0;1;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;1;0;0;2;0;51;3;10;33;8;1;51;0;0;;0;;27;83;25;0;0;0;2;0;34;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0.0
352;Jovon Makama;ENG;FW,MF;Norwich City;EFL Championship;21;2004;15;8;694;7.7;4;0;4;4;0;0;1;0;4.1;4.1;1.2;5.4;22;8;54;0.52;0.00;0.52;0.52;0.52;0.54;0.16;0.70;0.54;0.70;19;9;47.4;2.46;1.17;0.21;0.44;11.6;0;0;0;4.1;4.1;0.22;-0.1;-0.1;112;179;62.6;1667;336;61;84;72.6;38;55;69.1;7;15;46.7;0;1.2;1.0;-1.2;6;10;2;1;8;16;2.07;11;0;2;2;0;1;1;0.13;1;0;0;0;0;0;9;4;3;2;4;3;7;42.9;4;13;2;11;1;10;5;0;293;4;30;127;146;37;293;38;21;55.3;16;42.1;174;1141;586;22;13;7;21;10;201;54;1;0;0;15;7;4;12;1;4;0;0;0;26;21;31;40.4
358;Alex Matos;ENG;MF,DF;Sheffield Utd;EFL Championship;21;2004;6;3;301;3.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;8;10;11;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;128;149;85.9;1864;331;69;76;90.8;49;55;89.1;4;10;40.0;0;0.0;0.3;0.0;1;6;2;0;10;4;1.20;4;0;0;0;0;0;0;0.00;0;0;0;0;0;0;8;6;5;3;0;3;7;42.9;4;4;0;4;4;12;6;0;192;10;40;107;47;6;192;4;2;50.0;2;50.0;93;491;244;8;3;4;7;3;118;11;0;0;0;10;11;0;3;4;6;0;1;0;13;10;7;58.8
360;Hayden Matthews;AUS;DF;Portsmouth;EFL Championship;21;2004;5;2;202;2.2;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;8;9;3;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.09;0.09;0.09;1;0;0.0;0.45;0.00;0.00;;4.4;0;0;0;0.2;0.2;0.21;-0.2;-0.2;115;140;82.1;2082;597;49;51;96.1;58;63;92.1;8;23;34.8;0;0.0;0.2;0.0;0;9;1;0;9;3;1.34;3;0;0;0;0;0;0;0.00;0;0;0;0;0;0;2;2;2;0;0;2;2;100.0;0;4;2;2;1;3;17;0;169;18;86;71;12;3;169;1;0;0.0;0;0.0;90;549;342;8;2;0;2;1;104;3;0;0;0;1;3;0;1;1;2;0;0;1;4;5;3;62.5
364;Noah Mawene;ENG;MF;Preston;EFL Championship;20;2005;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;0;0;;0;0;0;0;;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;1;0;2;0;2;0;0;0;2;0;0;;0;;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
366;Derek Mazou-Sacko;FRA;MF;Millwall;EFL Championship;21;2004;10;8;664;7.4;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;2;24;5;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03;5;1;20.0;0.68;0.14;0.00;0.00;24.0;0;0;0;0.2;0.2;0.03;-0.2;-0.2;188;225;83.6;2978;829;86;98;87.8;89;103;86.4;8;11;72.7;0;0.0;0.1;0.0;2;20;1;0;24;4;0.54;3;0;0;0;1;0;1;0.14;0;0;0;0;1;0;18;9;7;10;1;8;15;53.3;7;0;0;0;4;22;10;0;281;9;59;181;44;2;281;6;4;66.7;1;16.7;143;606;210;2;4;1;4;4;153;5;0;0;0;8;6;0;4;4;9;0;0;0;40;7;6;53.8
374;Cathal McCarthy;IRL;DF,MF;Hull City;EFL Championship;19;2006;2;1;91;1.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;44;52;84.6;781;195;15;16;93.8;27;28;96.4;2;7;28.6;0;0.0;0.0;0.0;0;0;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;3;3;1;2;0;2;3;66.7;1;1;0;1;1;4;4;0;61;4;22;39;0;0;61;0;0;;0;;39;279;159;1;0;0;0;1;43;0;0;0;0;4;2;0;0;1;3;0;0;0;6;3;5;37.5
376;Ruairi Mcconville;NIR;DF;Norwich City;EFL Championship;20;2005;4;3;280;3.1;0;0;0;0;0;0;1;0;0.6;0.6;0.0;0.6;0;8;1;0.00;0.00;0.00;0.00;0.00;0.18;0.01;0.19;0.18;0.19;2;0;0.0;0.64;0.00;0.00;;7.3;0;0;0;0.6;0.6;0.28;-0.6;-0.6;138;160;86.3;2471;757;57;61;93.4;69;78;88.5;11;19;57.9;0;0.0;0.1;0.0;1;6;1;0;8;1;0.32;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;2;0.0;2;1;0;1;1;1;14;0;187;11;86;90;11;4;187;1;1;100.0;0;0.0;119;469;158;0;0;0;5;3;120;1;1;0;0;3;0;0;0;1;0;0;0;0;12;6;3;66.7
377;George McCormick;ENG;DF;Middlesbrough;EFL Championship;20;2005;1;0;30;0.3;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;0;0;0;0.00;0.00;0.00;0.00;0.00;0.55;0.00;0.55;0.55;0.55;1;0;0.0;3.00;0.00;0.00;;7.9;0;0;0;0.2;0.2;0.19;-0.2;-0.2;2;6;33.3;47;46;1;1;100.0;0;2;0.0;1;3;33.3;0;0.0;0.0;0.0;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;1;4;0;12;4;8;3;1;1;12;0;0;;0;;4;5;1;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;50.0
394;Yang Minhyeok;KOR;FW;Portsmouth;EFL Championship;19;2006;10;7;515;5.7;2;1;3;2;0;0;2;0;1.2;1.2;0.7;1.9;15;15;37;0.35;0.17;0.52;0.35;0.52;0.20;0.13;0.33;0.20;0.33;10;4;40.0;1.75;0.70;0.20;0.50;17.3;0;0;0;1.2;1.2;0.12;+0.8;+0.8;89;128;69.5;1285;307;48;64;75.0;29;39;74.4;5;12;41.7;1;0.7;1.0;+0.3;8;1;9;1;15;16;2.80;13;0;2;1;0;0;2;0.35;1;0;1;0;0;0;6;4;4;2;0;0;5;0.0;5;8;1;7;2;8;5;0;203;2;27;75;103;23;203;17;3;17.6;10;58.8;121;784;319;15;8;8;22;13;135;37;2;0;0;6;9;4;11;2;4;0;0;0;29;1;16;5.9
397;Jeremy Monga;ENG;FW;Leicester City;EFL Championship;16;2009;11;5;519;5.8;1;1;2;1;0;0;1;0;0.3;0.3;0.8;1.0;29;21;44;0.17;0.17;0.35;0.17;0.35;0.05;0.13;0.18;0.05;0.18;5;2;40.0;0.87;0.35;0.20;0.50;18.3;0;0;0;0.3;0.3;0.05;+0.7;+0.7;109;141;77.3;1513;404;65;74;87.8;36;47;76.6;4;10;40.0;1;0.8;0.5;+0.2;6;6;6;0;21;22;3.82;15;0;4;1;2;0;4;0.69;3;0;0;0;1;0;5;4;2;2;1;3;6;50.0;3;4;0;4;0;5;2;0;210;3;18;54;141;20;210;38;18;47.4;16;42.1;162;1103;602;29;11;13;19;14;165;44;1;0;0;5;9;2;18;0;4;0;0;0;19;1;1;50.0
398;Kristi Montgomery;SCO;MF;Blackburn;EFL Championship;21;2004;8;2;310;3.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;7;11;7;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;116;154;75.3;1669;419;61;73;83.6;46;61;75.4;2;7;28.6;0;0.0;0.1;0.0;0;7;2;1;11;3;0.87;2;0;0;0;1;0;1;0.29;0;0;0;0;1;0;9;5;5;4;0;3;5;60.0;2;5;1;4;1;10;4;0;187;8;55;89;43;2;187;7;2;28.6;3;42.9;100;512;237;7;1;0;2;8;115;7;0;0;0;1;8;0;3;1;5;0;0;0;19;4;6;40.0
401;Kieran Morgan;ENG;DF,MF;QPR;EFL Championship;19;2006;7;3;271;3.0;1;0;1;1;0;0;0;0;0.1;0.1;0.1;0.2;7;22;4;0.33;0.00;0.33;0.33;0.33;0.04;0.02;0.07;0.04;0.07;3;1;33.3;1.00;0.33;0.33;1.00;22.1;0;0;0;0.1;0.1;0.04;+0.9;+0.9;140;184;76.1;2738;854;53;62;85.5;67;80;83.8;19;34;55.9;0;0.1;0.1;-0.1;2;15;2;1;22;6;1.99;4;1;0;1;0;0;0;0.00;0;0;0;0;0;0;6;3;3;2;1;4;8;50.0;4;4;1;3;0;6;6;2;208;9;63;110;35;2;208;1;1;100.0;0;0.0;100;592;300;7;3;1;4;3;129;4;0;0;0;4;0;1;5;0;3;0;0;0;7;2;2;50.0
408;Divin Mubama;ENG;FW;Stoke City;EFL Championship;21;2004;17;14;1,185;13.2;5;1;6;5;0;0;3;1;5.4;5.4;0.8;6.1;11;15;66;0.38;0.08;0.46;0.38;0.46;0.41;0.06;0.47;0.41;0.47;26;11;42.3;1.97;0.84;0.19;0.45;12.8;0;0;0;5.4;5.4;0.21;-0.4;-0.4;125;173;72.3;1875;316;68;94;72.3;43;52;82.7;7;8;87.5;1;0.8;0.5;+0.2;6;14;4;0;15;22;1.67;11;0;3;6;2;0;3;0.23;1;0;0;2;0;0;11;3;3;6;2;3;6;50.0;3;7;1;6;5;16;13;0;307;14;22;140;148;48;307;15;8;53.3;7;46.7;183;911;297;11;8;4;47;13;240;66;3;1;1;23;29;20;1;5;3;0;0;0;14;34;42;44.7
409;Errol Mundle-Smith;ENG;MF,FW;Norwich City;EFL Championship;19;2006;2;0;15;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;4;6;66.7;59;8;2;3;66.7;2;2;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;1;1;1;0;0;0;0;;0;1;0;1;0;1;0;0;11;1;2;4;5;1;11;2;1;50.0;1;50.0;6;28;13;1;0;1;0;1;6;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;
412;Joel Ndala;ENG;FW,MF;Hull City;EFL Championship;19;2006;11;7;534;5.9;1;0;1;1;0;0;0;0;1.9;1.9;0.1;1.9;15;5;26;0.17;0.00;0.17;0.17;0.17;0.31;0.01;0.33;0.31;0.33;12;3;25.0;2.02;0.51;0.08;0.33;14.7;0;0;0;1.9;1.9;0.16;-0.9;-0.9;73;97;75.3;1083;105;39;46;84.8;27;33;81.8;4;8;50.0;0;0.1;0.9;-0.1;3;4;1;0;5;8;1.35;7;0;1;0;0;0;0;0.00;0;0;0;0;0;0;11;7;4;5;2;3;8;37.5;5;4;0;4;4;15;4;0;176;4;30;70;82;28;176;22;11;50.0;10;45.5;104;960;386;15;10;8;11;14;111;26;0;0;0;7;8;3;4;4;7;0;0;0;23;1;12;7.7
414;Benjamin Nelson;ENG;DF;Leicester City;EFL Championship;21;2004;2;2;127;1.4;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;40;47;85.1;916;226;6;8;75.0;30;33;90.9;4;6;66.7;0;0.0;0.0;0.0;0;1;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;3;3;3;0;0;0;0;;0;1;0;1;0;3;13;0;64;13;46;19;0;0;64;0;0;;0;;33;105;38;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;3;0;0;0;2;3;1;75.0
424;Sverre Nypan;NOR;MF,FW;Middlesbrough;EFL Championship;18;2006;11;3;438;4.9;0;0;0;0;0;0;2;0;0.2;0.2;0.5;0.7;15;17;22;0.00;0.00;0.00;0.00;0.00;0.05;0.10;0.15;0.05;0.15;5;1;20.0;1.03;0.21;0.00;0.00;23.3;0;0;0;0.2;0.2;0.04;-0.2;-0.2;136;171;79.5;2026;391;72;84;85.7;51;60;85.0;6;15;40.0;0;0.5;0.8;-0.5;3;12;2;0;17;11;2.27;8;0;3;0;0;0;1;0.21;1;0;0;0;0;0;10;5;2;7;1;5;8;62.5;3;3;1;2;2;12;3;0;224;4;28;110;88;10;224;15;7;46.7;7;46.7;140;767;469;15;10;4;12;9;168;22;2;0;0;3;3;0;4;2;5;0;0;0;10;4;6;40.0
427;Gatlin O'Donkor;ENG;MF;Oxford United;EFL Championship;21;2004;1;0;4;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.45;0.00;0.45;0.45;0.45;1;0;0.0;22.50;0.00;0.00;;13.8;0;0;0;0.0;0.0;0.02;0.0;0.0;2;2;100.0;14;0;2;2;100.0;0;0;;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;2;45.00;1;0;0;1;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;4;0;0;0;4;2;4;0;0;;0;;3;12;2;0;1;0;0;1;4;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;100.0
438;Ryan One;SCO;MF,FW;Sheffield Utd;EFL Championship;19;2006;6;0;133;1.5;0;0;0;0;0;0;0;0;0.2;0.2;0.6;0.8;5;0;15;0.00;0.00;0.00;0.00;0.00;0.12;0.41;0.53;0.12;0.53;1;0;0.0;0.68;0.00;0.00;;6.0;0;0;0;0.2;0.2;0.18;-0.2;-0.2;27;41;65.9;482;84;14;21;66.7;10;10;100.0;3;4;75.0;0;0.6;0.3;-0.6;4;1;2;2;0;4;2.71;3;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;2;0;2;0;0;1;0;60;1;9;12;40;8;60;4;4;100.0;0;0.0;29;240;122;5;4;2;6;3;43;15;0;0;0;4;1;1;9;0;0;0;0;0;2;5;7;41.7
442;Nicholas Oyekunle;ENG;DF;Southampton;EFL Championship;18;2007;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;1;1;100.0;22;0;0;0;;1;1;100.0;0;0;;0;0.0;0.0;0.0;0;0;0;0;0;1;18.00;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0.0
443;David Ozoh;ENG;MF;Derby County;EFL Championship;20;2005;13;9;747;8.3;1;0;1;1;0;0;4;0;0.2;0.2;0.1;0.3;13;19;12;0.12;0.00;0.12;0.12;0.12;0.02;0.01;0.03;0.02;0.03;1;1;100.0;0.12;0.12;1.00;1.00;12.1;0;0;0;0.2;0.2;0.20;+0.8;+0.8;243;275;88.4;4159;763;99;110;90.0;119;126;94.4;20;23;87.0;0;0.1;0.3;-0.1;2;28;4;0;19;8;0.97;8;0;0;0;0;0;1;0.12;1;0;0;0;0;0;18;12;8;7;3;14;22;63.6;8;13;1;12;8;26;6;0;377;15;99;221;70;8;377;24;11;45.8;13;54.2;187;1148;535;13;9;2;18;9;195;12;4;0;0;21;4;0;3;8;12;0;1;0;52;7;8;46.7
445;Louis Page;ENG;MF;Leicester City;EFL Championship;17;2008;3;2;124;1.4;0;1;1;0;0;0;0;0;0.1;0.1;0.1;0.2;2;5;2;0.00;0.73;0.73;0.00;0.73;0.06;0.05;0.11;0.06;0.11;1;0;0.0;0.73;0.00;0.00;;15.5;0;0;0;0.1;0.1;0.09;-0.1;-0.1;24;29;82.8;334;46;15;18;83.3;8;9;88.9;1;2;50.0;1;0.1;0.1;+0.9;1;0;1;0;5;1;0.73;1;0;0;0;0;0;1;0.73;1;0;0;0;0;0;2;1;1;0;1;0;2;0.0;2;0;0;0;1;3;0;0;45;0;8;24;13;3;45;2;0;0.0;2;100.0;27;152;48;2;0;1;6;1;30;2;0;0;0;1;1;0;0;1;1;0;0;0;2;0;6;0.0
452;Sydie Peck;ENG;MF;Sheffield Utd;EFL Championship;21;2004;17;17;1,502;16.7;1;1;2;0;1;1;4;0;3.7;2.9;1.2;4.2;20;108;22;0.06;0.06;0.12;0.00;0.06;0.22;0.07;0.30;0.18;0.25;25;4;16.0;1.50;0.24;0.00;0.00;16.2;0;1;1;3.7;2.9;0.12;-2.7;-2.9;717;921;77.9;12631;3747;323;358;90.2;313;382;81.9;66;139;47.5;1;1.2;2.0;-0.2;14;95;11;0;108;41;2.46;24;6;4;6;0;1;3;0.18;1;1;0;0;0;1;36;24;13;19;4;11;19;57.9;8;15;4;11;18;54;42;2;1146;44;232;671;254;34;1145;16;7;43.8;8;50.0;539;2784;1356;20;26;2;26;15;686;22;4;0;0;18;14;0;37;18;24;0;0;0;87;47;32;59.5
456;Ashley Phillips;WAL;DF;Stoke City;EFL Championship;20;2005;13;10;962;10.7;0;1;1;0;0;0;3;0;0.4;0.4;0.5;0.8;5;22;2;0.00;0.09;0.09;0.00;0.09;0.03;0.04;0.08;0.03;0.08;3;0;0.0;0.28;0.00;0.00;;7.3;0;0;0;0.4;0.4;0.12;-0.4;-0.4;449;528;85.0;9433;2781;84;99;84.8;322;346;93.1;42;71;59.2;1;0.5;0.5;+0.5;3;12;0;0;22;11;1.03;11;0;0;0;0;0;1;0.09;1;0;0;0;0;0;5;3;4;1;0;4;5;80.0;1;15;14;1;11;16;85;1;663;90;367;280;18;12;663;1;0;0.0;1;100.0;364;1788;1066;5;4;0;11;0;412;2;3;0;0;10;4;2;0;11;3;0;0;0;21;39;15;72.2
469;Joshua Quarshie;GER;DF;Southampton;EFL Championship;21;2004;8;7;634;7.0;0;0;0;0;0;0;2;0;0.2;0.2;0.0;0.2;7;29;2;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;3;0;0.0;0.43;0.00;0.00;;14.7;0;0;0;0.2;0.2;0.08;-0.2;-0.2;418;506;82.6;7504;2582;167;176;94.9;221;260;85.0;28;63;44.4;0;0.0;0.1;0.0;0;33;1;0;29;7;0.99;5;2;0;0;0;0;0;0.00;0;0;0;0;0;0;8;3;4;4;0;0;3;0.0;3;6;3;3;7;15;40;2;577;57;249;296;35;6;577;4;2;50.0;2;50.0;333;1665;1054;7;6;0;3;0;372;2;2;0;0;9;4;0;1;7;3;0;0;0;26;17;9;65.4
482;Jay Robinson;ENG;MF,FW;Southampton;EFL Championship;18;2007;15;5;600;6.7;2;1;3;2;0;0;0;0;2.8;2.8;0.3;3.1;24;17;48;0.30;0.15;0.45;0.30;0.45;0.41;0.05;0.46;0.41;0.46;20;7;35.0;3.00;1.05;0.10;0.29;15.3;0;0;0;2.8;2.8;0.14;-0.8;-0.8;95;142;66.9;1469;372;53;74;71.6;32;44;72.7;6;11;54.5;1;0.3;0.6;+0.7;6;9;9;2;17;21;3.15;11;0;3;6;1;0;1;0.15;0;0;1;0;0;0;6;3;3;2;1;1;6;16.7;5;6;0;6;3;9;3;1;256;3;29;98;138;42;256;42;21;50.0;19;45.2;178;1328;595;24;22;13;36;15;181;48;0;0;0;12;11;1;7;3;3;0;0;0;22;3;6;33.3
492;Ishé Samuels-Smith;ENG;DF;Swansea City;EFL Championship;19;2006;3;2;134;1.5;0;1;1;0;0;0;2;0;0.0;0.0;0.3;0.3;8;4;11;0.00;0.67;0.67;0.00;0.67;0.00;0.17;0.17;0.00;0.17;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;75;91;82.4;1076;343;47;49;95.9;22;31;71.0;3;6;50.0;1;0.3;0.2;+0.7;2;5;1;1;4;2;1.34;2;0;0;0;0;0;1;0.67;1;0;0;0;0;0;5;1;3;2;0;3;4;75.0;1;0;0;0;1;6;9;0;113;2;39;51;23;1;113;3;2;66.7;1;33.3;69;413;224;8;2;1;4;0;73;11;2;0;0;2;0;0;3;1;1;0;0;0;6;1;3;25.0
499;Oscar Schwartau;DEN;FW,MF;Norwich City;EFL Championship;19;2006;15;11;882;9.8;1;0;1;1;0;0;0;0;1.6;1.6;1.1;2.6;28;16;68;0.10;0.00;0.10;0.10;0.10;0.16;0.11;0.27;0.16;0.27;16;7;43.8;1.63;0.71;0.06;0.14;15.0;0;0;0;1.6;1.6;0.10;-0.6;-0.6;218;270;80.7;3139;593;129;147;87.8;71;86;82.6;9;17;52.9;0;1.1;0.9;-1.1;7;6;5;1;16;18;1.84;9;1;3;2;1;2;1;0.10;1;0;0;0;0;0;27;15;7;14;6;13;29;44.8;16;12;0;12;8;35;9;0;402;6;62;172;180;28;402;40;18;45.0;20;50.0;234;1560;735;28;25;13;17;17;250;68;0;0;0;5;8;4;13;8;15;0;0;0;39;4;18;18.2
501;Adrian Segecic;AUS;MF,FW;Portsmouth;EFL Championship;21;2004;13;9;735;8.2;4;0;4;4;0;0;0;0;1.1;1.1;1.3;2.4;9;13;51;0.49;0.00;0.49;0.49;0.49;0.13;0.16;0.29;0.13;0.29;23;8;34.8;2.82;0.98;0.17;0.50;21.6;1;0;0;1.1;1.1;0.05;+2.9;+2.9;84;137;61.3;1331;335;46;60;76.7;31;47;66.0;5;18;27.8;0;1.3;1.4;-1.3;10;10;11;5;13;20;2.45;15;0;2;0;3;0;0;0.00;0;0;0;0;0;0;10;6;2;3;5;3;14;21.4;11;6;0;6;2;12;5;0;245;4;23;86;142;22;245;20;7;35.0;13;65.0;139;940;391;9;6;5;30;10;155;51;0;0;0;8;12;1;21;2;6;0;0;0;24;5;10;33.3
504;Vivaldo Semedo;POR;FW;Watford;EFL Championship;20;2005;12;5;432;4.8;1;1;2;1;0;0;1;0;2.1;2.1;0.5;2.6;4;5;13;0.21;0.21;0.42;0.21;0.42;0.44;0.10;0.54;0.44;0.54;18;7;38.9;3.75;1.46;0.06;0.14;11.6;0;0;0;2.1;2.1;0.12;-1.1;-1.1;53;80;66.3;690;101;30;43;69.8;16;20;80.0;2;5;40.0;1;0.5;0.1;+0.5;4;4;1;0;5;12;2.50;7;0;1;3;1;0;3;0.62;2;0;0;0;1;0;4;2;3;1;0;0;1;0.0;1;1;0;1;0;4;4;0;142;2;11;69;64;27;142;5;1;20.0;2;40.0;69;258;106;4;1;2;18;6;95;13;1;0;0;10;4;1;3;0;2;1;0;0;11;11;21;34.4
