Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;Cmp;Att;Cmp%;TotDist;PrgDist;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Ast;xAG;xA;A-xAG;KP;1//3;PPA;CrsPA;PrgP;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Lost;Blocks;Sh;Pass;Int;Tkl+Int;Clr;Err;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Att;Succ;Succ%;Tkld;Tkld%;Carries;TotDist;PrgDist;PrgC;1//3;CPA;Mis;Dis;Rec;PrgR;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;Int;TklW;PKwon;PKcon;OG;Recov;Won;Lost;Won%
22;Bilal Bafdili;BEL;MF,FW;Mechelen;Belgium Pro;21;2004;12;9;677;7.5;1;2;3;1;0;0;2;0;1.3;1.3;1.4;2.7;10;33;37;0.13;0.27;0.40;0.13;0.40;0.17;0.19;0.36;0.17;0.36;10;4;40.0;1.33;0.53;0.10;0.25;14.9;1;0;0;1.3;1.3;0.14;-0.3;-0.3;186;255;72.9;3021;986;92;115;80.0;77;91;84.6;11;33;33.3;2;1.4;1.4;+0.6;12;21;8;3;33;26;3.45;19;4;1;2;0;0;2;0.27;2;0;0;0;0;0;4;2;1;2;1;2;8;25.0;6;9;0;9;6;10;11;0;339;10;49;158;140;15;339;23;10;43.5;12;52.2;199;958;419;10;7;3;18;14;218;37;2;0;0;9;6;0;26;6;2;0;0;0;41;5;12;29.4
26;Alama Bayo;GUI;FW;Cercle Brugge;Belgium Pro;19;2006;5;0;17;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;5;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.14;0.00;0.14;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;5;11;45.5;78;12;3;5;60.0;2;4;50.0;0;0;;0;0.0;0.0;0.0;1;0;1;0;1;1;5.29;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;16;0;1;4;11;2;16;3;0;0.0;3;100.0;12;62;16;1;0;0;0;1;14;5;0;0;0;2;1;1;2;0;0;0;0;0;0;0;3;0.0
32;Mauricio Benítez;ARG;MF;Antwerp;Belgium Pro;21;2004;13;8;641;7.1;1;0;1;1;0;0;2;0;0.6;0.6;0.4;1.0;5;28;2;0.14;0.00;0.14;0.14;0.14;0.08;0.06;0.14;0.08;0.14;8;2;25.0;1.12;0.28;0.13;0.50;21.9;0;0;0;0.6;0.6;0.07;+0.4;+0.4;244;312;78.2;4270;1107;104;126;82.5;102;122;83.6;25;40;62.5;0;0.4;0.4;-0.4;5;30;5;0;28;13;1.83;11;1;0;1;0;0;0;0.00;0;0;0;0;0;0;23;15;12;9;2;14;22;63.6;8;4;1;3;9;32;10;0;402;15;82;256;67;7;402;6;3;50.0;3;50.0;188;804;356;5;5;0;15;4;202;2;2;0;0;7;5;0;4;9;15;0;0;0;46;15;10;60.0
41;Amine Boukamir;MAR;MF;Charleroi;Belgium Pro;19;2006;2;2;135;1.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2;5;0;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;54;61;88.5;881;130;22;24;91.7;24;27;88.9;5;6;83.3;0;0.0;0.0;0.0;1;4;0;0;5;1;0.67;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;6;3;2;4;0;4;5;80.0;1;2;0;2;1;7;5;0;78;3;13;50;16;1;78;1;1;100.0;0;0.0;40;209;121;2;2;0;0;0;40;0;0;0;0;1;1;0;1;1;3;0;0;0;6;1;1;50.0
42;Mehdi Boukamir;MAR;DF;Charleroi;Belgium Pro;21;2004;6;0;102;1.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;17;25;68.0;445;180;3;4;75.0;11;14;78.6;3;7;42.9;0;0.0;0.0;0.0;0;2;0;0;1;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;3;1;2;1;0;1;1;100.0;0;3;3;0;1;4;13;0;49;19;35;11;3;1;49;0;0;;0;;11;32;21;0;0;0;1;1;14;0;0;0;0;0;0;0;0;1;1;0;0;0;3;4;4;50.0
43;Rosen Bozhinov;BUL;DF;Antwerp;Belgium Pro;20;2005;12;11;918;10.2;1;0;1;1;0;0;1;0;0.4;0.4;0.2;0.6;1;28;0;0.10;0.00;0.10;0.10;0.10;0.04;0.02;0.06;0.04;0.06;7;3;42.9;0.69;0.29;0.14;0.33;12.8;0;0;0;0.4;0.4;0.06;+0.6;+0.6;521;567;91.9;9578;2818;152;171;88.9;342;353;96.9;23;31;74.2;0;0.2;0.3;-0.2;3;12;0;0;28;10;0.98;9;0;0;0;0;1;1;0.10;1;0;0;0;0;0;12;7;10;2;0;9;11;81.8;2;15;12;3;10;22;72;2;700;80;366;309;25;16;700;2;2;100.0;0;0.0;417;2104;1082;1;2;0;5;1;453;0;1;0;0;13;4;0;0;10;7;0;0;0;42;45;20;69.2
46;Eliot Bujupi;KVX;FW,MF;Westerlo;Belgium Pro;19;2006;4;0;10;0.1;0;0;0;0;0;0;1;0;0.1;0.1;0.1;0.2;1;1;3;0.00;0.00;0.00;0.00;0.00;0.98;0.59;1.58;0.98;1.58;1;1;100.0;9.00;9.00;0.00;0.00;18.1;0;0;0;0.1;0.1;0.11;-0.1;-0.1;8;9;88.9;106;14;4;4;100.0;3;3;100.0;0;0;;0;0.1;0.1;-0.1;2;0;1;0;1;3;27.00;3;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;11;0;1;3;8;4;11;0;0;;0;;8;57;49;1;1;0;0;0;7;3;1;0;0;1;1;0;1;0;0;0;0;0;1;1;2;33.3
51;Shandre Campbell;RSA;FW,DF;Club Brugge;Belgium Pro;20;2005;5;0;38;0.4;1;0;1;1;0;0;1;0;0.0;0.0;0.2;0.2;2;2;13;2.37;0.00;2.37;2.37;2.37;0.09;0.48;0.57;0.09;0.57;2;1;50.0;4.74;2.37;0.50;1.00;27.1;0;0;0;0.0;0.0;0.02;+1.0;+1.0;19;25;76.0;351;72;7;10;70.0;9;11;81.8;3;4;75.0;0;0.2;0.1;-0.2;1;1;2;1;2;3;7.11;1;0;2;0;0;0;1;2.37;0;0;1;0;0;0;1;1;1;0;0;0;1;0.0;1;1;0;1;0;1;0;0;39;0;4;8;29;2;39;8;3;37.5;5;62.5;32;242;134;2;1;0;0;0;31;13;1;0;0;2;0;0;3;0;1;0;0;0;3;0;0;
55;Thomas Claes;BEL;MF;Zulte Waregem;Belgium Pro;21;2004;15;15;1,299;14.4;2;1;3;2;0;0;2;0;0.8;0.8;0.9;1.8;17;75;30;0.14;0.07;0.21;0.14;0.21;0.06;0.07;0.12;0.06;0.12;19;11;57.9;1.32;0.76;0.11;0.18;24.7;4;0;0;0.8;0.8;0.04;+1.2;+1.2;512;609;84.1;8979;2427;238;260;91.5;216;243;88.9;49;85;57.6;1;0.9;1.4;+0.1;14;64;6;1;75;37;2.56;25;10;0;2;0;0;4;0.28;4;0;0;0;0;0;20;11;5;13;2;10;18;55.6;8;24;8;16;7;27;26;0;737;32;140;398;211;14;737;17;8;47.1;8;47.1;392;1867;872;17;16;4;23;15;444;30;2;0;0;17;8;0;40;7;11;0;1;0;71;4;12;25.0
59;Antonio Cordero;ESP;FW,MF;Westerlo;Belgium Pro;19;2006;6;0;87;1.0;0;0;0;0;0;0;0;0;0.4;0.4;0.2;0.6;2;5;16;0.00;0.00;0.00;0.00;0.00;0.38;0.24;0.63;0.38;0.63;3;1;33.3;3.10;1.03;0.00;0.00;15.4;0;0;0;0.4;0.4;0.12;-0.4;-0.4;24;35;68.6;432;161;12;17;70.6;8;9;88.9;4;8;50.0;0;0.2;0.2;-0.2;3;1;1;0;5;4;4.14;1;2;0;0;0;1;0;0.00;0;0;0;0;0;0;2;1;0;0;2;0;0;;0;3;1;2;1;3;1;0;53;1;9;11;33;8;53;3;0;0.0;3;100.0;30;184;58;2;3;1;3;2;35;16;0;0;0;0;1;0;7;1;1;0;0;0;3;0;2;0.0
